
The CC5X C compiler supports all the listed devices.
The header files are available from the download page.

Available header file list:

Device           Header file
PIC16CR65        16C65.H
PIC16C65A        16C65A.H
PIC16C65B        16C65B.H
PIC16C66         16C66.H
PIC16C661        16C661.H
PIC16C662        16C662.H
PIC16C67         16C67.H
PIC16F676        16F676.H
PIC16F677        16F677.H
PIC16F684        16F684.H
PIC16F685        16F685.H
PIC16F687        16F687.H
PIC16F688        16F688.H
PIC16F689        16F689.H
PIC16F690        16F690.H
PIC16(L)F707     16F707.H
PIC16C71         16C71.H
PIC16C710        16C710.H
PIC16C711        16C711.H
PIC16C712        16C712.H
PIC16C715        16C715.H
PIC16C716        16C716.H
PIC16F716        16F716.H
PIC16C717        16C717.H
PIC16C72         16C72.H
PIC16CR72        16C72.H
PIC16C72A        16C72A.H
PIC16F72         16F72.H
PIC16(L)F720     16F720.H
PIC16(L)F721     16F721.H
PIC16(L)F722     16F722.H
PIC16(L)F722A    16F722A.H
PIC16(L)F723     16F723.H
PIC16(L)F723A    16F723A.H
PIC16(L)F724     16F724.H
PIC16(L)F726     16F726.H
PIC16(L)F727     16F727.H
PIC16C73         16C73.H
PIC16C73A        16C73A.H
PIC16C73B        16C73B.H
PIC16F73         16F73.H
PIC16F737        16F737.H
PIC16C74         16C74.H
PIC16C74A        16C74A.H
PIC16C74B        16C74B.H
PIC16F74         16F74.H
PIC16C745        16C745.H
PIC16F747        16F747.H
PIC16F753        16F753.H
PIC16HV753       16HV753.H
PIC16C76         16C76.H
PIC16F76         16F76.H
PIC16C765        16C765.H
PIC16F767        16F767.H
PIC16C77         16C77.H
PIC16F77         16F77.H
PIC16C770        16C770.H
PIC16C771        16C771.H
PIC16C773        16C773.H
PIC16C774        16C774.H
PIC16F777        16F777.H
PIC16C781        16C781.H
PIC16C782        16C782.H
PIC16F785        16F785.H
PIC16HV785       16HV785.H
PIC16F818        16F818.H
PIC16F819        16F819.H
PIC16C83         16C83.H
PIC16CR83        16C83.H
PIC16F83         16F83.H
PIC16C84         16C84.H
PIC16CR84        16C84.H
PIC16F84         16F84.H
PIC16F84A        16F84A.H
PIC16F87         16F87.H
PIC16F870        16F870.H
PIC16F871        16F871.H
PIC16F872        16F872.H
PIC16F873        16F873.H
PIC16F873A       16F873A.H
PIC16F874        16F874.H
PIC16F874A       16F874A.H
PIC16F876        16F876.H
PIC16F876A       16F876A.H
PIC16F877        16F877.H
PIC16F877A       16F877A.H
PIC16F88         16F88.H
PIC16F882        16F882.H
PIC16F883        16F883.H
PIC16F884        16F884.H
PIC16F886        16F886.H
PIC16F887        16F887.H
PIC16F913        16F913.H
PIC16F914        16F914.H
PIC16F916        16F916.H
PIC16F917        16F917.H
PIC16C923        16C923.H
PIC16C924        16C924.H
PIC16C925        16C925.H
PIC16C926        16C926.H
PIC16F946        16F946.H
